startTime,endTime,aveH,aveV
14691665,14692033,900.700012207031,329.600006103516
14692057,14696919,973.299987792969,239.5
14696929,14697649,962.299987792969,279.799987792969
14697663,14697769,900.299987792969,299.899993896484
14697791,14699515,975.700012207031,299.5
14699625,14699951,988.299987792969,270.5
14700085,14700305,970.400024414063,341.299987792969
14700319,14706859,943.200012207031,289
14706871,14707205,911.299987792969,273
14707215,14708433,956.400024414063,303.100006103516
14708459,14709189,966.099975585938,221
14709281,14709437,986.5,162.699996948242
14709449,14714949,982.599975585938,202.800003051758
14715053,14715763,969.900024414063,260.399993896484
14715775,14716641,938.799987792969,255.800003051758
14716761,14718873,940.099975585938,303.299987792969
14718891,14718995,966.099975585938,304.200012207031
14719011,14719407,935,308.299987792969
14719415,14721483,925.099975585938,310.299987792969
14721495,14721617,875,279.899993896484
14721627,14724723,902.400024414063,255.800003051758
14724737,14724855,947.400024414063,246.899993896484
14724869,14725307,897.900024414063,250.300003051758
14725315,14726497,908.400024414063,264.600006103516
14726543,14727239,901.700012207031,571.900024414063
14727253,14727487,946.799987792969,517.799987792969
14727497,14727989,933.700012207031,496.100006103516
14728009,14729493,955,614
14729513,14731077,922.799987792969,534.5
14731095,14731813,940.099975585938,602.299987792969
14731825,14732633,926.599975585938,652.599975585938
14732745,14733665,956.5,301.399993896484
14733827,14733963,933.599975585938,358.200012207031
14733987,14734081,960.099975585938,336.600006103516
14734099,14734213,928.599975585938,313.100006103516
14734341,14734557,922.799987792969,316.100006103516
14734573,14736195,953.299987792969,343.200012207031
14736213,14736369,966.900024414063,330.200012207031
14736379,14737777,961.799987792969,329.799987792969
14737887,14739389,961.599975585938,308.100006103516
14739405,14739747,961.5,310.600006103516
14739755,14741655,957.5,317.799987792969
14741667,14742019,944.400024414063,302.600006103516
14742033,14742311,972.200012207031,312.5
14742445,14742787,971.900024414063,332.899993896484
14742795,14744199,949.200012207031,313
